"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
311,"2019-05-01 00:07:36.4670","2019-05-01 00:12:47.6350",3185,"City Hall",40.7177325,-74.043845,3279,"Dixon Mills",40.721630142638354,-74.04996782541275,29224,"Subscriber",1988,1
538,"2019-05-01 00:08:29.2840","2019-05-01 00:17:27.9410",3681,"Grand St",40.71517767732029,-74.03768330812454,3203,"Hamilton Park",40.727595966,-74.044247311,26170,"Subscriber",1974,1
178,"2019-05-01 00:39:36.4750","2019-05-01 00:42:34.9640",3638,"Washington St",40.7242941,-74.0354826,3639,"Harborside",40.7192517,-74.034234,29517,"Subscriber",1988,1
317,"2019-05-01 01:24:28.0220","2019-05-01 01:29:45.5730",3206,"Hilltop",40.7311689,-74.0575736,3212,"Christ Hospital",40.734785818,-74.050443636,29606,"Subscriber",1986,2
354,"2019-05-01 01:54:39.6660","2019-05-01 02:00:34.1750",3639,"Harborside",40.7192517,-74.034234,3202,"Newport PATH",40.7272235,-74.0337589,26224,"Customer",1986,2
357,"2019-05-01 01:54:43.6300","2019-05-01 02:00:41.0210",3639,"Harborside",40.7192517,-74.034234,3202,"Newport PATH",40.7272235,-74.0337589,29541,"Customer",1986,1
138,"2019-05-01 02:25:04.8320","2019-05-01 02:27:23.0580",3183,"Exchange Place",40.7162469,-74.0334588,3681,"Grand St",40.71517767732029,-74.03768330812454,29280,"Subscriber",1979,1
299,"2019-05-01 03:50:09.1180","2019-05-01 03:55:08.8850",3194,"McGinley Square",40.7253399253558,-74.06762212514877,3679,"Bergen Ave",40.722103786686034,-74.07145500183105,29479,"Subscriber",1987,1
296,"2019-05-01 04:44:27.7800","2019-05-01 04:49:24.4570",3203,"Hamilton Park",40.727595966,-74.044247311,3202,"Newport PATH",40.7272235,-74.0337589,29554,"Subscriber",1967,1
811,"2019-05-01 04:55:48.9470","2019-05-01 05:09:20.2810",3207,"Oakland Ave",40.7376037,-74.0524783,3185,"City Hall",40.7177325,-74.043845,29666,"Subscriber",1984,2
